Postnumre, kommuner og regioner, 1.1.2016		
		
Hele Landet		
		
postnumre	kommuner	regioner
1852 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1853 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1854 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1855 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1856 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1857 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1858 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1859 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1860 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1861 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1862 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1863 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1864 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1865 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1866 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1867 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1868 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1869 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1870 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1871 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1872 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1873 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
